Vernier Format 2
cstr_1200_300_series.txt 8/4/118 12:34:32
Run 1
Time	Conductivity	Conductivity	Conductivity	
T	C	C	C	
s	µS/cm	µS/cm	µS/cm	

0	750	378	762	
1	770	378	772	
2	750	388	762	
3	799	378	772	
4	818	378	762	
5	750	378	751	
6	770	378	781	
7	809	378	762	
8	770	378	762	
9	809	378	781	
10	760	378	751	
11	770	378	762	
12	799	388	772	
13	770	378	751	
14	789	388	772	
15	750	388	772	
16	770	378	762	
17	779	378	772	
18	760	388	751	
19	770	378	772	
20	809	378	772	
21	867	378	722	
22	994	378	762	
23	1161	378	732	
24	1444	378	692	
25	1639	388	702	
26	1747	378	712	
27	1855	378	682	
28	1913	388	712	
29	1923	369	692	
30	1942	378	682	
31	1972	378	732	
32	1972	388	692	
33	1952	378	682	
34	1972	378	712	
35	1962	378	742	
36	1942	378	712	
37	1962	378	742	
38	1991	388	762	
39	1962	378	702	
40	1972	378	722	
41	1972	378	772	
42	1952	378	742	
43	1952	388	751	
44	1972	378	762	
45	1952	378	762	
46	1903	388	751	
47	1942	378	792	
48	1962	378	772	
49	1913	378	762	
50	1913	378	781	
51	1913	378	802	
52	1884	378	781	
53	1913	378	772	
54	1913	378	821	
55	1893	378	792	
56	1884	378	781	
57	1893	378	802	
58	1903	378	811	
59	1844	378	792	
60	1884	378	821	
61	1893	378	821	
62	1864	378	802	
63	1864	388	821	
64	1864	388	841	
65	1864	378	811	
66	1835	378	821	
67	1844	378	851	
68	1855	378	841	
69	1805	378	821	
70	1844	378	851	
71	1815	388	871	
72	1815	378	841	
73	1796	388	851	
74	1844	388	871	
75	1786	378	851	
76	1805	378	851	
77	1805	388	881	
78	1815	378	881	
79	1786	378	862	
80	1786	388	891	
81	1796	378	881	
82	1756	378	851	
83	1767	388	881	
84	1786	369	891	
85	1767	378	881	
86	1776	378	881	
87	1786	388	921	
88	1756	378	901	
89	1747	388	891	
90	1756	378	921	
91	1756	378	921	
92	1747	378	881	
93	1756	388	921	
94	1737	388	931	
95	1708	378	911	
96	1708	378	921	
97	1718	378	951	
98	1698	378	921	
99	1708	378	911	
100	1718	378	941	
101	1698	378	941	
102	1688	378	911	
103	1708	369	951	
104	1727	388	931	
105	1679	378	921	
106	1698	378	931	
107	1688	388	971	
108	1688	388	921	
109	1698	378	951	
110	1698	378	981	
111	1659	378	961	
112	1649	378	931	
113	1698	388	961	
114	1688	378	961	
115	1630	378	951	
116	1659	388	971	
117	1659	378	971	
118	1639	378	951	
119	1649	388	971	
120	1659	369	981	
121	1639	388	961	
122	1630	369	961	
123	1639	378	1011	
124	1649	378	971	
125	1630	378	971	
126	1639	388	1001	
127	1610	388	1001	
128	1600	388	971	
129	1630	388	991	
130	1610	378	1001	
131	1610	378	971	
132	1591	388	991	
133	1610	378	1011	
134	1581	388	981	
135	1591	378	981	
136	1610	388	1011	
137	1591	378	1011	
138	1571	378	1001	
139	1581	378	1031	
140	1581	388	1041	
141	1551	388	991	
142	1571	378	1011	
143	1571	378	1021	
144	1542	378	991	
145	1551	369	1011	
146	1581	388	1031	
147	1532	378	1021	
148	1551	378	1011	
