Time (s),CH1 Conductivity (muS/cm),CH2 Conductivity (muS/cm)
0.0,781.0,782.0
1.0,771.0,801.0
2.0,762.0,821.0
3.0,762.0,791.0
4.0,801.0,791.0
5.0,771.0,771.0
6.0,762.0,801.0
7.0,732.0,791.0
8.0,781.0,812.0
9.0,732.0,791.0
10.0,801.0,801.0
11.0,732.0,782.0
12.0,781.0,821.0
13.0,781.0,782.0
14.0,742.0,821.0
15.0,742.0,801.0
16.0,762.0,821.0
17.0,751.0,791.0
18.0,762.0,801.0
19.0,762.0,791.0
20.0,762.0,791.0
21.0,742.0,821.0
22.0,762.0,771.0
23.0,762.0,831.0
24.0,742.0,782.0
25.0,801.0,821.0
26.0,762.0,782.0
27.0,801.0,782.0
28.0,762.0,821.0
29.0,771.0,791.0
30.0,859.0,801.0
31.0,898.0,771.0
32.0,957.0,791.0
33.0,977.0,741.0
34.0,1026.0,791.0
35.0,1036.0,761.0
36.0,1055.0,782.0
37.0,1104.0,771.0
38.0,1124.0,752.0
39.0,1183.0,771.0
40.0,1183.0,731.0
41.0,1183.0,752.0
42.0,1192.0,771.0
43.0,1192.0,741.0
44.0,1212.0,761.0
45.0,1212.0,761.0
46.0,1232.0,741.0
47.0,1241.0,771.0
48.0,1251.0,752.0
49.0,1232.0,761.0
50.0,1251.0,771.0
51.0,1212.0,752.0
52.0,1241.0,761.0
53.0,1261.0,771.0
54.0,1232.0,731.0
55.0,1261.0,771.0
56.0,1232.0,761.0
57.0,1241.0,752.0
58.0,1261.0,771.0
59.0,1251.0,752.0
60.0,1261.0,771.0
61.0,1280.0,771.0
62.0,1251.0,761.0
63.0,1280.0,761.0
64.0,1280.0,771.0
65.0,1241.0,741.0
66.0,1241.0,782.0
67.0,1251.0,761.0
68.0,1232.0,761.0
69.0,1251.0,771.0
70.0,1251.0,771.0
71.0,1251.0,741.0
72.0,1280.0,761.0
73.0,1271.0,771.0
74.0,1261.0,731.0
75.0,1280.0,771.0
76.0,1280.0,761.0
77.0,1261.0,752.0
78.0,1261.0,782.0
79.0,1261.0,771.0
80.0,1251.0,761.0
81.0,1280.0,782.0
82.0,1251.0,771.0
83.0,1261.0,761.0
84.0,1261.0,771.0
85.0,1280.0,782.0
86.0,1241.0,752.0
87.0,1261.0,771.0
88.0,1241.0,782.0
89.0,1241.0,741.0
90.0,1241.0,791.0
91.0,1280.0,771.0
92.0,1261.0,741.0
93.0,1232.0,791.0
94.0,1280.0,782.0
95.0,1241.0,761.0
96.0,1251.0,771.0
97.0,1251.0,821.0
98.0,1251.0,771.0
99.0,1251.0,771.0
100.0,1280.0,801.0
101.0,1251.0,771.0
102.0,1241.0,771.0
103.0,1251.0,821.0
104.0,1280.0,782.0
105.0,1232.0,771.0
106.0,1251.0,801.0
107.0,1280.0,801.0
108.0,1241.0,791.0
109.0,1232.0,782.0
110.0,1271.0,791.0
111.0,1261.0,791.0
112.0,1241.0,782.0
113.0,1251.0,801.0
114.0,1271.0,791.0
115.0,1222.0,791.0
116.0,1241.0,801.0
117.0,1232.0,841.0
118.0,1251.0,771.0
119.0,1241.0,791.0
120.0,1261.0,841.0
121.0,1232.0,841.0
122.0,1251.0,771.0
123.0,1241.0,791.0
124.0,1271.0,821.0
125.0,1232.0,801.0
126.0,1251.0,782.0
127.0,1241.0,821.0
128.0,1261.0,821.0
129.0,1232.0,791.0
130.0,1232.0,801.0
131.0,1241.0,841.0
132.0,1251.0,821.0
133.0,1212.0,791.0
134.0,1251.0,812.0
135.0,1241.0,851.0
136.0,1222.0,801.0
137.0,1241.0,791.0
138.0,1241.0,841.0
139.0,1251.0,841.0
140.0,1212.0,821.0
141.0,1232.0,821.0
142.0,1222.0,851.0
143.0,1232.0,851.0
144.0,1202.0,821.0
145.0,1222.0,831.0
146.0,1222.0,851.0
147.0,1222.0,851.0
148.0,1212.0,821.0
149.0,1202.0,821.0
150.0,1241.0,851.0
151.0,1241.0,841.0
152.0,1222.0,791.0
153.0,1232.0,821.0
154.0,1251.0,851.0
155.0,1232.0,841.0
156.0,1212.0,821.0
157.0,1232.0,821.0
158.0,1232.0,851.0
159.0,1232.0,851.0
160.0,1212.0,821.0
161.0,1202.0,841.0
162.0,1251.0,851.0
163.0,1212.0,841.0
164.0,1173.0,841.0
165.0,1192.0,841.0
166.0,1212.0,871.0
167.0,1212.0,841.0
168.0,1212.0,831.0
169.0,1212.0,821.0
170.0,1232.0,851.0
171.0,1202.0,871.0
172.0,1192.0,841.0
173.0,1192.0,841.0
174.0,1192.0,851.0
175.0,1212.0,871.0
176.0,1202.0,841.0
177.0,1183.0,821.0
178.0,1183.0,861.0
179.0,1212.0,871.0
180.0,1202.0,851.0
181.0,1183.0,841.0
182.0,1173.0,851.0
183.0,1202.0,851.0
184.0,1212.0,871.0
185.0,1173.0,841.0
186.0,1183.0,841.0
187.0,1202.0,851.0
188.0,1202.0,881.0
189.0,1212.0,851.0
190.0,1163.0,841.0
191.0,1202.0,851.0
192.0,1183.0,881.0
193.0,1183.0,881.0
194.0,1202.0,841.0
195.0,1163.0,851.0
196.0,1163.0,871.0
197.0,1212.0,881.0
198.0,1173.0,871.0
199.0,1173.0,841.0
200.0,1163.0,841.0
201.0,1202.0,861.0
202.0,1212.0,881.0
203.0,1183.0,871.0
204.0,1183.0,851.0
205.0,1163.0,851.0
206.0,1192.0,871.0
207.0,1212.0,871.0
208.0,1192.0,861.0
209.0,1153.0,861.0
210.0,1163.0,851.0
211.0,1192.0,871.0
212.0,1183.0,881.0
213.0,1163.0,871.0
214.0,1163.0,851.0
215.0,1183.0,851.0
216.0,1183.0,891.0
217.0,1192.0,881.0
218.0,1163.0,861.0
219.0,1133.0,871.0
220.0,1163.0,871.0
221.0,1202.0,881.0
222.0,1183.0,881.0
223.0,1163.0,871.0
224.0,1153.0,871.0
225.0,1133.0,871.0
226.0,1183.0,881.0
227.0,1163.0,881.0
228.0,1173.0,881.0
229.0,1133.0,871.0
230.0,1163.0,871.0
231.0,1183.0,891.0
232.0,1163.0,891.0
233.0,1163.0,881.0
234.0,1153.0,881.0
235.0,1144.0,851.0
236.0,1163.0,891.0
237.0,1163.0,891.0
238.0,1153.0,881.0
239.0,1163.0,881.0
240.0,1133.0,871.0
241.0,1163.0,891.0
242.0,1183.0,901.0
243.0,1183.0,891.0
244.0,1153.0,871.0
245.0,1133.0,871.0
246.0,1163.0,871.0
247.0,1153.0,901.0
248.0,1144.0,901.0
249.0,1144.0,901.0
250.0,1163.0,881.0
251.0,1153.0,871.0
252.0,1163.0,881.0
253.0,1133.0,911.0
254.0,1153.0,911.0
255.0,1163.0,881.0
256.0,1153.0,871.0
257.0,1133.0,881.0
258.0,1153.0,891.0
259.0,1163.0,891.0
260.0,1153.0,901.0
261.0,1153.0,881.0
262.0,1133.0,871.0
263.0,1124.0,881.0
264.0,1153.0,891.0
265.0,1173.0,911.0
266.0,1124.0,921.0
267.0,1133.0,881.0
268.0,1104.0,891.0
269.0,1144.0,881.0
270.0,1133.0,891.0
271.0,1163.0,911.0
272.0,1124.0,901.0
273.0,1144.0,881.0
274.0,1094.0,891.0
275.0,1133.0,871.0
276.0,1153.0,891.0
277.0,1144.0,911.0
278.0,1133.0,911.0
279.0,1124.0,891.0
280.0,1133.0,881.0
281.0,1124.0,891.0
282.0,1104.0,901.0
283.0,1114.0,921.0
284.0,1153.0,911.0
285.0,1153.0,891.0
286.0,1124.0,881.0
287.0,1104.0,881.0
288.0,1114.0,891.0
289.0,1124.0,911.0
290.0,1144.0,931.0
291.0,1114.0,911.0
292.0,1133.0,891.0
293.0,1085.0,901.0
294.0,1104.0,891.0
295.0,1124.0,891.0
296.0,1114.0,931.0
297.0,1133.0,931.0
298.0,1104.0,921.0
299.0,1094.0,891.0
300.0,1104.0,881.0
301.0,1124.0,891.0
302.0,1133.0,901.0
303.0,1133.0,931.0
304.0,1133.0,931.0
305.0,1114.0,911.0
306.0,1114.0,901.0
307.0,1124.0,881.0
308.0,1085.0,891.0
309.0,1114.0,911.0
310.0,1124.0,911.0
311.0,1133.0,921.0
312.0,1124.0,911.0
313.0,1124.0,891.0
314.0,1114.0,881.0
315.0,1104.0,901.0
316.0,1133.0,901.0
317.0,1104.0,931.0
318.0,1104.0,931.0
319.0,1094.0,921.0
320.0,1094.0,891.0
321.0,1085.0,911.0
322.0,1114.0,901.0
323.0,1114.0,921.0
324.0,1124.0,931.0
325.0,1094.0,941.0
326.0,1124.0,911.0
327.0,1085.0,901.0
328.0,1075.0,911.0
329.0,1075.0,891.0
330.0,1075.0,921.0
331.0,1094.0,921.0
332.0,1104.0,931.0
333.0,1124.0,931.0
334.0,1104.0,921.0
335.0,1075.0,921.0
336.0,1094.0,901.0
337.0,1094.0,901.0
338.0,1085.0,931.0
339.0,1094.0,931.0
340.0,1094.0,931.0
341.0,1104.0,931.0
342.0,1124.0,921.0
343.0,1085.0,921.0
344.0,1085.0,901.0
345.0,1075.0,901.0
346.0,1085.0,931.0
347.0,1085.0,921.0
348.0,1085.0,951.0
349.0,1094.0,931.0
350.0,1085.0,941.0
351.0,1075.0,931.0
352.0,1085.0,901.0
353.0,1085.0,891.0
354.0,1085.0,901.0
355.0,1094.0,911.0
356.0,1085.0,931.0
357.0,1075.0,951.0
358.0,1085.0,931.0
359.0,1075.0,931.0
360.0,1085.0,931.0
361.0,1055.0,931.0
362.0,1055.0,901.0
363.0,1085.0,921.0
364.0,1075.0,911.0
365.0,1065.0,931.0
366.0,1085.0,931.0
367.0,1094.0,951.0
368.0,1085.0,951.0
369.0,1094.0,951.0
370.0,1075.0,931.0
371.0,1085.0,921.0
372.0,1075.0,921.0
373.0,1065.0,921.0
374.0,1075.0,921.0
375.0,1055.0,931.0
376.0,1075.0,931.0
377.0,1075.0,931.0
378.0,1065.0,961.0
379.0,1085.0,951.0
380.0,1075.0,931.0
381.0,1075.0,951.0
382.0,1065.0,931.0
383.0,1075.0,931.0
384.0,1055.0,921.0
385.0,1075.0,901.0
386.0,1055.0,931.0
387.0,1055.0,921.0
388.0,1065.0,931.0
389.0,1055.0,931.0
390.0,1055.0,961.0
391.0,1085.0,931.0
392.0,1075.0,951.0
393.0,1075.0,941.0
394.0,1085.0,951.0
395.0,1085.0,931.0
396.0,1055.0,931.0
397.0,1075.0,921.0
398.0,1055.0,921.0
399.0,1045.0,921.0
400.0,1045.0,921.0
401.0,1075.0,921.0
402.0,1036.0,931.0
403.0,1055.0,931.0
404.0,1065.0,951.0
405.0,1085.0,941.0
406.0,1055.0,961.0
407.0,1065.0,961.0
408.0,1065.0,951.0
409.0,1055.0,951.0
410.0,1055.0,941.0
411.0,1075.0,931.0
412.0,1075.0,931.0
413.0,1055.0,921.0
414.0,1055.0,931.0
415.0,1045.0,931.0
416.0,1036.0,931.0
417.0,1026.0,931.0
418.0,1036.0,941.0
419.0,1045.0,951.0
420.0,1045.0,941.0
421.0,1045.0,951.0
422.0,1045.0,961.0
423.0,1065.0,951.0
424.0,1045.0,961.0
425.0,1085.0,951.0
426.0,1065.0,961.0
427.0,1065.0,951.0
428.0,1055.0,951.0
429.0,1045.0,951.0
430.0,1045.0,941.0
431.0,1026.0,931.0
432.0,1055.0,931.0
433.0,1026.0,931.0
434.0,1026.0,931.0
435.0,1036.0,931.0
436.0,1016.0,931.0
437.0,1016.0,931.0
438.0,1055.0,931.0
439.0,1055.0,921.0
440.0,1016.0,941.0
441.0,1045.0,931.0
442.0,1026.0,931.0
443.0,1016.0,941.0
444.0,1026.0,941.0
445.0,1026.0,941.0
446.0,1016.0,961.0
447.0,1036.0,951.0
448.0,1045.0,941.0
449.0,1055.0,961.0
450.0,1065.0,961.0
451.0,1065.0,961.0
452.0,1036.0,961.0
453.0,1075.0,961.0
454.0,1075.0,961.0
455.0,1055.0,961.0
456.0,1055.0,951.0
457.0,1045.0,961.0
458.0,1055.0,961.0
459.0,1055.0,961.0
460.0,1055.0,961.0
461.0,1055.0,961.0
462.0,1055.0,951.0
463.0,1045.0,961.0
464.0,1045.0,971.0
465.0,1036.0,961.0
466.0,1065.0,961.0
467.0,1055.0,961.0
468.0,1045.0,971.0
469.0,1036.0,961.0
470.0,1045.0,961.0
471.0,1036.0,971.0
472.0,1026.0,971.0
473.0,1036.0,971.0
474.0,1045.0,971.0
475.0,1045.0,961.0
476.0,1036.0,971.0
477.0,1036.0,961.0
478.0,1026.0,961.0
479.0,1016.0,971.0
480.0,1055.0,951.0
481.0,1045.0,971.0
482.0,1055.0,951.0
483.0,1055.0,961.0
484.0,1045.0,971.0
485.0,1045.0,971.0
486.0,1055.0,961.0
487.0,1045.0,971.0
488.0,1026.0,961.0
489.0,1016.0,981.0
490.0,1026.0,961.0
491.0,1026.0,961.0
492.0,1026.0,961.0
493.0,1026.0,961.0
494.0,1016.0,961.0
495.0,1026.0,961.0
496.0,1055.0,961.0
497.0,1036.0,961.0
498.0,1045.0,951.0
499.0,1036.0,951.0
500.0,1006.0,961.0
501.0,1026.0,941.0
502.0,1006.0,961.0
503.0,1006.0,951.0
504.0,1016.0,951.0
505.0,997.0,931.0
506.0,1006.0,941.0
507.0,1006.0,931.0
508.0,997.0,931.0
509.0,977.0,951.0
510.0,1006.0,931.0
511.0,1016.0,931.0
512.0,1006.0,951.0
513.0,977.0,951.0
514.0,997.0,941.0
515.0,997.0,961.0
516.0,1026.0,931.0
517.0,1026.0,941.0
518.0,1016.0,961.0
519.0,1036.0,961.0
520.0,1036.0,961.0
521.0,1026.0,961.0
522.0,1036.0,961.0
523.0,1026.0,981.0
524.0,1036.0,971.0
525.0,1016.0,971.0
526.0,1026.0,971.0
527.0,1006.0,971.0
528.0,1016.0,971.0
529.0,1016.0,971.0
530.0,1026.0,961.0
531.0,1006.0,971.0
532.0,1006.0,951.0
533.0,997.0,961.0
534.0,977.0,951.0
535.0,1006.0,931.0
536.0,1006.0,941.0
537.0,997.0,941.0
538.0,1006.0,931.0
539.0,997.0,961.0
540.0,1006.0,951.0
541.0,1006.0,951.0
542.0,997.0,971.0
543.0,1006.0,961.0
544.0,1016.0,971.0
545.0,1016.0,961.0
546.0,1016.0,971.0
547.0,1016.0,971.0
548.0,997.0,961.0
549.0,1006.0,971.0
550.0,997.0,961.0
551.0,1006.0,961.0
552.0,1006.0,941.0
553.0,986.0,951.0
554.0,986.0,941.0
555.0,986.0,961.0
556.0,967.0,951.0
557.0,997.0,951.0
558.0,1016.0,951.0
559.0,977.0,971.0
560.0,997.0,961.0
561.0,986.0,981.0
562.0,1006.0,981.0
563.0,997.0,981.0
564.0,977.0,981.0
565.0,1006.0,951.0
566.0,1006.0,961.0
567.0,997.0,941.0
568.0,986.0,951.0
569.0,967.0,951.0
570.0,977.0,951.0
571.0,997.0,951.0
572.0,1006.0,951.0
573.0,1006.0,971.0
574.0,1006.0,971.0
575.0,977.0,991.0
576.0,1016.0,961.0
577.0,977.0,981.0
578.0,1006.0,961.0
579.0,977.0,951.0
580.0,967.0,961.0
581.0,977.0,931.0
582.0,967.0,951.0
583.0,967.0,961.0
584.0,1006.0,961.0
585.0,1006.0,971.0
586.0,1016.0,971.0
587.0,1016.0,981.0
588.0,1006.0,971.0
589.0,1006.0,961.0
590.0,997.0,951.0
591.0,967.0,951.0
592.0,957.0,961.0
593.0,957.0,961.0
594.0,947.0,961.0
595.0,967.0,951.0
596.0,977.0,981.0
597.0,1016.0,971.0
598.0,1016.0,961.0
599.0,967.0,981.0
600.0,977.0,961.0
601.0,967.0,961.0
602.0,986.0,941.0
603.0,967.0,961.0
604.0,957.0,961.0
605.0,997.0,951.0
606.0,967.0,981.0
607.0,1006.0,971.0
608.0,997.0,981.0
609.0,1006.0,961.0
610.0,997.0,951.0
611.0,967.0,951.0
612.0,938.0,961.0
