Vernier Format 2
cstr_600_200_series.txt 8/4/118 14:1:59
Run 1
Time	Conductivity	Conductivity	
T	C	C	
s	µS/cm	µS/cm	

0	781	782	
1	771	801	
2	762	821	
3	762	791	
4	801	791	
5	771	771	
6	762	801	
7	732	791	
8	781	812	
9	732	791	
10	801	801	
11	732	782	
12	781	821	
13	781	782	
14	742	821	
15	742	801	
16	762	821	
17	751	791	
18	762	801	
19	762	791	
20	762	791	
21	742	821	
22	762	771	
23	762	831	
24	742	782	
25	801	821	
26	762	782	
27	801	782	
28	762	821	
29	771	791	
30	859	801	
31	898	771	
32	957	791	
33	977	741	
34	1026	791	
35	1036	761	
36	1055	782	
37	1104	771	
38	1124	752	
39	1183	771	
40	1183	731	
41	1183	752	
42	1192	771	
43	1192	741	
44	1212	761	
45	1212	761	
46	1232	741	
47	1241	771	
48	1251	752	
49	1232	761	
50	1251	771	
51	1212	752	
52	1241	761	
53	1261	771	
54	1232	731	
55	1261	771	
56	1232	761	
57	1241	752	
58	1261	771	
59	1251	752	
60	1261	771	
61	1280	771	
62	1251	761	
63	1280	761	
64	1280	771	
65	1241	741	
66	1241	782	
67	1251	761	
68	1232	761	
69	1251	771	
70	1251	771	
71	1251	741	
72	1280	761	
73	1271	771	
74	1261	731	
75	1280	771	
76	1280	761	
77	1261	752	
78	1261	782	
79	1261	771	
80	1251	761	
81	1280	782	
82	1251	771	
83	1261	761	
84	1261	771	
85	1280	782	
86	1241	752	
87	1261	771	
88	1241	782	
89	1241	741	
90	1241	791	
91	1280	771	
92	1261	741	
93	1232	791	
94	1280	782	
95	1241	761	
96	1251	771	
97	1251	821	
98	1251	771	
99	1251	771	
100	1280	801	
101	1251	771	
102	1241	771	
103	1251	821	
104	1280	782	
105	1232	771	
106	1251	801	
107	1280	801	
108	1241	791	
109	1232	782	
110	1271	791	
111	1261	791	
112	1241	782	
113	1251	801	
114	1271	791	
115	1222	791	
116	1241	801	
117	1232	841	
118	1251	771	
119	1241	791	
120	1261	841	
121	1232	841	
122	1251	771	
123	1241	791	
124	1271	821	
125	1232	801	
126	1251	782	
