Vernier Format 2
pfr_1200_0375.txt 7/28/118 13:11:58
Run 1
Time	Conductivity	Conductivity	Conductivity	
T	C	C	C	
s	µS/cm	µS/cm	µS/cm	

0	1218	281.1	1018	
1	1271	281.9	1072	
2	1281	280.8	1008	
3	1233	281.5	976	
4	1184	281.5	965	
5	1227	282.0	987	
6	1259	280.7	1018	
7	1295	281.2	1040	
8	1204	281.3	1008	
9	1212	281.9	955	
10	1204	280.8	987	
11	1293	281.6	1092	
12	1248	281.3	1029	
13	1234	281.5	933	
14	1173	281.3	987	
15	1261	281.7	1040	
16	1261	281.3	1040	
17	1289	281.2	1018	
18	1178	281.4	997	
19	1227	281.7	1008	
20	1247	281.1	1029	
21	1303	281.1	1082	
22	1242	281.4	1050	
23	1205	281.6	976	
24	1199	282.0	955	
25	1238	280.7	1018	
26	1312	281.1	1050	
27	1214	281.5	1018	
28	1198	281.9	976	
29	1193	281.6	965	
30	1283	280.6	1072	
31	1266	281.5	1092	
32	1229	281.5	987	
33	1191	281.7	923	
34	1199	280.8	987	
35	1300	281.1	1082	
36	1266	281.5	1082	
37	1216	281.3	965	
38	1210	282.0	923	
39	1202	281.1	987	
40	1299	281.3	1092	
41	1255	281.6	1040	
42	1228	281.5	955	
43	1175	281.7	933	
44	1209	281.0	1008	
45	1293	281.5	1082	
46	1270	280.9	1040	
47	1214	281.5	944	
48	1169	281.1	933	
49	1257	281.1	1029	
50	1289	281.7	1072	
51	1265	281.1	997	
52	1198	281.6	923	
53	1179	281.1	997	
54	1255	281.6	1029	
55	1259	281.4	1050	
56	1267	281.1	987	
57	1185	281.3	933	
58	1170	280.8	955	
59	1270	281.3	1050	
60	1266	281.5	1092	
61	1247	281.3	1008	
62	1205	281.6	933	
63	1172	281.3	944	
64	1270	280.7	1008	
65	1295	281.3	1061	
66	1217	281.4	1008	
67	1204	281.7	955	
68	1184	281.5	955	
69	1260	280.6	1018	
70	1288	281.3	1050	
71	1197	281.4	997	
72	1185	281.5	987	
73	1233	282.0	1008	
74	1270	280.7	1018	
75	1294	280.9	997	
76	1187	281.2	955	
77	1204	281.7	965	
78	1234	281.6	1018	
79	1275	280.6	1040	
80	1241	281.4	955	
81	1160	281.1	923	
82	1235	281.2	1018	
83	1285	281.6	1082	
84	1241	281.5	1008	
85	1212	281.7	933	
86	1188	281.9	944	
87	1249	280.7	1008	
88	1302	280.9	1040	
89	1194	281.3	997	
90	1184	281.3	997	
91	1248	281.7	1050	
92	1265	281.1	1072	
93	1267	280.8	1029	
94	1179	281.5	965	
95	1194	280.7	997	
96	1306	281.0	1092	
97	1251	281.5	1082	
98	1180	281.3	1008	
99	1221	281.9	987	
100	1248	281.2	1146	
101	1295	281.1	626	
102	1172	280.7	1739	
103	1103	279.7	2227	
104	1248	278.8	2693	
105	1153	279.4	2937	
106	1084	278.8	3054	
107	1246	278.8	3064	
108	1086	279.7	2746	
109	1194	279.3	2725	
110	1204	279.7	2375	
111	1113	280.6	2026	
112	1231	280.0	1973	
113	1193	280.8	1676	
114	1149	280.7	1569	
115	1263	280.0	1538	
116	1193	280.8	1305	
117	1155	280.6	1241	
