Time (s),CH1 Conductivity (muS/cm),CH2 Conductivity (muS/cm),CH3 Conductivity (muS/cm)
0.0,1188.0,279.0,987.0
1.0,1200.0,279.5,891.0
2.0,1155.0,279.1,965.0
3.0,1210.0,279.7,933.0
4.0,1181.0,278.9,944.0
5.0,1241.0,279.7,1018.0
6.0,1231.0,278.8,1018.0
7.0,1296.0,279.1,1072.0
8.0,1269.0,278.8,1018.0
9.0,1307.0,279.0,1072.0
10.0,1267.0,279.0,1040.0
11.0,1302.0,278.8,1040.0
12.0,1258.0,279.3,1018.0
13.0,1279.0,278.9,987.0
14.0,1229.0,279.0,1008.0
15.0,1238.0,279.1,933.0
16.0,1197.0,279.2,965.0
17.0,1218.0,279.3,923.0
18.0,1172.0,279.2,944.0
19.0,1196.0,279.5,901.0
20.0,1166.0,279.3,933.0
21.0,1203.0,279.4,913.0
22.0,1166.0,279.3,955.0
23.0,1200.0,279.4,933.0
24.0,1161.0,279.1,965.0
25.0,1191.0,279.7,923.0
26.0,1162.0,278.9,944.0
27.0,1191.0,279.7,913.0
28.0,1164.0,278.9,965.0
29.0,1193.0,279.7,901.0
30.0,1170.0,279.0,933.0
31.0,1194.0,279.6,913.0
32.0,1175.0,279.1,955.0
33.0,1192.0,279.4,923.0
34.0,1184.0,279.1,965.0
35.0,1210.0,279.3,944.0
36.0,1210.0,279.2,965.0
37.0,1236.0,279.3,997.0
38.0,1249.0,278.8,976.0
39.0,1270.0,279.3,1050.0
40.0,1284.0,278.4,1008.0
41.0,1293.0,279.2,1082.0
42.0,1299.0,278.3,1018.0
43.0,1273.0,279.4,1082.0
44.0,1275.0,278.6,1018.0
45.0,1217.0,279.3,997.0
46.0,1212.0,279.2,976.0
47.0,1166.0,279.0,933.0
48.0,1197.0,279.4,901.0
49.0,1161.0,278.9,1283.0
50.0,1190.0,278.4,1782.0
51.0,1174.0,278.0,2492.0
52.0,1200.0,277.3,2916.0
53.0,1169.0,277.6,3308.0
54.0,1209.0,277.0,3160.0
55.0,1203.0,278.0,3001.0
56.0,1248.0,277.5,2662.0
57.0,1242.0,277.7,2333.0
58.0,1272.0,278.3,2026.0
59.0,1242.0,277.6,1739.0
60.0,1194.0,279.3,1496.0
61.0,1161.0,278.8,1347.0
62.0,1151.0,278.9,1177.0
63.0,1235.0,278.8,1167.0
64.0,1270.0,279.0,1209.0
65.0,1294.0,278.4,1167.0
66.0,1197.0,279.3,1050.0
67.0,1190.0,279.6,1008.0
68.0,1166.0,279.0,997.0
69.0,1277.0,278.6,1029.0
70.0,1275.0,279.1,1092.0
71.0,1266.0,279.2,1061.0
72.0,1162.0,278.9,965.0
73.0,1214.0,279.4,923.0
74.0,1249.0,279.3,1040.0
75.0,1312.0,278.8,1103.0
76.0,1218.0,278.6,997.0
77.0,1187.0,279.4,923.0
78.0,1196.0,279.2,965.0
79.0,1294.0,279.0,1050.0
80.0,1271.0,278.2,1018.0
81.0,1199.0,279.5,955.0
82.0,1181.0,279.3,965.0
83.0,1277.0,279.0,1029.0
84.0,1287.0,278.3,1040.0
85.0,1187.0,279.4,933.0
