Vernier Format 2
pfr_fl1200_D0375_rep.txt 7/28/118 14:14:59
Run 1
Time	Conductivity	Conductivity	Conductivity	
T	C	C	C	
s	µS/cm	µS/cm	µS/cm	

0	1188	279.0	987	
1	1200	279.5	891	
2	1155	279.1	965	
3	1210	279.7	933	
4	1181	278.9	944	
5	1241	279.7	1018	
6	1231	278.8	1018	
7	1296	279.1	1072	
8	1269	278.8	1018	
9	1307	279.0	1072	
10	1267	279.0	1040	
11	1302	278.8	1040	
12	1258	279.3	1018	
13	1279	278.9	987	
14	1229	279.0	1008	
15	1238	279.1	933	
16	1197	279.2	965	
17	1218	279.3	923	
18	1172	279.2	944	
19	1196	279.5	901	
20	1166	279.3	933	
21	1203	279.4	913	
22	1166	279.3	955	
23	1200	279.4	933	
24	1161	279.1	965	
25	1191	279.7	923	
26	1162	278.9	944	
27	1191	279.7	913	
28	1164	278.9	965	
29	1193	279.7	901	
30	1170	279.0	933	
31	1194	279.6	913	
32	1175	279.1	955	
33	1192	279.4	923	
34	1184	279.1	965	
35	1210	279.3	944	
36	1210	279.2	965	
37	1236	279.3	997	
38	1249	278.8	976	
39	1270	279.3	1050	
40	1284	278.4	1008	
41	1293	279.2	1082	
42	1299	278.3	1018	
43	1273	279.4	1082	
44	1275	278.6	1018	
45	1217	279.3	997	
46	1212	279.2	976	
47	1166	279.0	933	
48	1197	279.4	901	
49	1161	278.9	1283	
50	1190	278.4	1782	
51	1174	278.0	2492	
52	1200	277.3	2916	
53	1169	277.6	3308	
54	1209	277.0	3160	
55	1203	278.0	3001	
56	1248	277.5	2662	
57	1242	277.7	2333	
58	1272	278.3	2026	
59	1242	277.6	1739	
60	1194	279.3	1496	
61	1161	278.8	1347	
62	1151	278.9	1177	
63	1235	278.8	1167	
64	1270	279.0	1209	
65	1294	278.4	1167	
66	1197	279.3	1050	
67	1190	279.6	1008	
68	1166	279.0	997	
69	1277	278.6	1029	
70	1275	279.1	1092	
71	1266	279.2	1061	
72	1162	278.9	965	
73	1214	279.4	923	
74	1249	279.3	1040	
75	1312	278.8	1103	
76	1218	278.6	997	
77	1187	279.4	923	
78	1196	279.2	965	
79	1294	279.0	1050	
80	1271	278.2	1018	
81	1199	279.5	955	
82	1181	279.3	965	
83	1277	279.0	1029	
84	1287	278.3	1040	
85	1187	279.4	933	
