Time (s),CH1 Conductivity (muS/cm),CH2 Conductivity (muS/cm),CH3 Conductivity (muS/cm)
0.0,1199.0,280.6,913.0
1.0,1159.0,280.3,923.0
2.0,1176.0,280.3,997.0
3.0,1223.0,280.8,1018.0
4.0,1223.0,281.2,976.0
5.0,1217.0,280.4,997.0
6.0,1261.0,279.7,1008.0
7.0,1289.0,280.4,1092.0
8.0,1275.0,280.8,1082.0
9.0,1258.0,280.6,1061.0
10.0,1289.0,280.0,1018.0
11.0,1290.0,280.2,1008.0
12.0,1227.0,280.6,1050.0
13.0,1204.0,280.6,997.0
14.0,1221.0,280.7,933.0
15.0,1204.0,280.8,913.0
16.0,1161.0,280.4,955.0
17.0,1173.0,280.5,997.0
18.0,1212.0,281.1,965.0
19.0,1191.0,281.2,965.0
20.0,1188.0,280.1,997.0
21.0,1245.0,279.9,1018.0
22.0,1264.0,280.6,1029.0
23.0,1231.0,281.0,1008.0
24.0,1233.0,279.7,1008.0
25.0,1271.0,279.9,1040.0
26.0,1290.0,280.6,1072.0
27.0,1255.0,280.6,1050.0
28.0,1266.0,279.7,1040.0
29.0,1295.0,279.9,1092.0
30.0,1288.0,280.6,1103.0
31.0,1255.0,280.3,1050.0
32.0,1278.0,279.5,1018.0
33.0,1307.0,280.1,1082.0
34.0,1279.0,280.9,1092.0
35.0,1258.0,280.3,1050.0
36.0,1289.0,279.7,1040.0
37.0,1300.0,280.5,1092.0
38.0,1269.0,280.9,1072.0
39.0,1267.0,279.7,1040.0
40.0,1302.0,279.7,1072.0
41.0,1289.0,280.7,1072.0
42.0,1260.0,280.6,1040.0
43.0,1283.0,279.4,1050.0
44.0,1302.0,280.3,1072.0
45.0,1278.0,280.9,1072.0
46.0,1258.0,280.1,1040.0
47.0,1293.0,279.5,1040.0
48.0,1305.0,280.5,1092.0
49.0,1260.0,281.0,1061.0
50.0,1270.0,279.5,1050.0
51.0,1303.0,280.0,1082.0
52.0,1291.0,280.8,1072.0
53.0,1253.0,280.3,1061.0
54.0,1285.0,279.6,1050.0
55.0,1301.0,280.1,1220.0
56.0,1252.0,280.6,1549.0
57.0,1247.0,278.7,2301.0
58.0,1241.0,277.9,3223.0
59.0,1151.0,277.7,3881.0
60.0,1046.0,278.2,3965.0
61.0,1078.0,278.7,3584.0
62.0,1174.0,279.5,2990.0
63.0,1226.0,279.7,2365.0
64.0,1245.0,279.0,1845.0
65.0,1272.0,279.2,1591.0
66.0,1251.0,280.1,1421.0
67.0,1224.0,280.3,1262.0
68.0,1228.0,280.3,1135.0
69.0,1234.0,280.4,1040.0
70.0,1185.0,280.4,1029.0
71.0,1160.0,280.6,1029.0
72.0,1199.0,280.7,997.0
73.0,1191.0,280.8,955.0
74.0,1150.0,280.3,965.0
75.0,1175.0,280.3,997.0
76.0,1200.0,281.0,976.0
77.0,1174.0,280.8,933.0
78.0,1166.0,280.1,955.0
79.0,1203.0,280.6,1008.0
80.0,1199.0,281.2,965.0
81.0,1176.0,280.6,923.0
82.0,1184.0,280.1,997.0
83.0,1215.0,280.9,976.0
84.0,1206.0,281.1,944.0
85.0,1172.0,280.3,933.0
86.0,1218.0,280.1,997.0
87.0,1294.0,281.5,531.0
88.0,1206.0,280.8,997.0
89.0,1218.0,279.7,997.0
90.0,1245.0,280.5,1008.0
91.0,1221.0,281.3,997.0
92.0,1187.0,280.3,965.0
93.0,1218.0,279.9,1008.0
94.0,1227.0,281.0,1008.0
95.0,1199.0,280.7,965.0
96.0,1174.0,279.8,965.0
97.0,1218.0,280.5,997.0
98.0,1212.0,281.4,774.0
99.0,1172.0,280.6,913.0
100.0,1182.0,280.1,965.0
101.0,1212.0,280.9,965.0
102.0,1193.0,281.3,913.0
103.0,1175.0,280.2,913.0
104.0,1199.0,280.8,785.0
105.0,1206.0,280.8,933.0
106.0,1169.0,280.6,913.0
107.0,1160.0,280.6,965.0
108.0,1209.0,280.9,955.0
109.0,1192.0,281.0,901.0
110.0,1168.0,280.6,933.0
111.0,1187.0,280.6,987.0
112.0,1227.0,280.6,923.0
113.0,1204.0,280.6,955.0
114.0,1210.0,280.6,987.0
115.0,1247.0,280.1,965.0
116.0,1259.0,280.3,976.0
117.0,1244.0,280.6,1040.0
118.0,1260.0,280.2,1040.0
119.0,1295.0,279.9,1008.0
120.0,1289.0,280.6,1092.0
