Vernier Format 2
pfr_1200_d_0025.txt 7/28/118 13:36:24
Run 1
Time	Conductivity	Conductivity	Conductivity	
T	C	C	C	
s	µS/cm	µS/cm	µS/cm	

0	1199	280.6	913	
1	1159	280.3	923	
2	1176	280.3	997	
3	1223	280.8	1018	
4	1223	281.2	976	
5	1217	280.4	997	
6	1261	279.7	1008	
7	1289	280.4	1092	
8	1275	280.8	1082	
9	1258	280.6	1061	
10	1289	280.0	1018	
11	1290	280.2	1008	
12	1227	280.6	1050	
13	1204	280.6	997	
14	1221	280.7	933	
15	1204	280.8	913	
16	1161	280.4	955	
17	1173	280.5	997	
18	1212	281.1	965	
19	1191	281.2	965	
20	1188	280.1	997	
21	1245	279.9	1018	
22	1264	280.6	1029	
23	1231	281.0	1008	
24	1233	279.7	1008	
25	1271	279.9	1040	
26	1290	280.6	1072	
27	1255	280.6	1050	
28	1266	279.7	1040	
29	1295	279.9	1092	
30	1288	280.6	1103	
31	1255	280.3	1050	
32	1278	279.5	1018	
33	1307	280.1	1082	
34	1279	280.9	1092	
35	1258	280.3	1050	
36	1289	279.7	1040	
37	1300	280.5	1092	
38	1269	280.9	1072	
39	1267	279.7	1040	
40	1302	279.7	1072	
41	1289	280.7	1072	
42	1260	280.6	1040	
43	1283	279.4	1050	
44	1302	280.3	1072	
45	1278	280.9	1072	
46	1258	280.1	1040	
47	1293	279.5	1040	
48	1305	280.5	1092	
49	1260	281.0	1061	
50	1270	279.5	1050	
51	1303	280.0	1082	
52	1291	280.8	1072	
53	1253	280.3	1061	
54	1285	279.6	1050	
55	1301	280.1	1220	
56	1252	280.6	1549	
57	1247	278.7	2301	
58	1241	277.9	3223	
59	1151	277.7	3881	
60	1046	278.2	3965	
61	1078	278.7	3584	
62	1174	279.5	2990	
63	1226	279.7	2365	
64	1245	279.0	1845	
65	1272	279.2	1591	
66	1251	280.1	1421	
67	1224	280.3	1262	
68	1228	280.3	1135	
69	1234	280.4	1040	
70	1185	280.4	1029	
71	1160	280.6	1029	
72	1199	280.7	997	
73	1191	280.8	955	
74	1150	280.3	965	
75	1175	280.3	997	
76	1200	281.0	976	
77	1174	280.8	933	
78	1166	280.1	955	
79	1203	280.6	1008	
80	1199	281.2	965	
81	1176	280.6	923	
82	1184	280.1	997	
83	1215	280.9	976	
84	1206	281.1	944	
85	1172	280.3	933	
86	1218	280.1	997	
87	1294	281.5	531	
88	1206	280.8	997	
89	1218	279.7	997	
90	1245	280.5	1008	
91	1221	281.3	997	
92	1187	280.3	965	
93	1218	279.9	1008	
94	1227	281.0	1008	
95	1199	280.7	965	
96	1174	279.8	965	
97	1218	280.5	997	
98	1212	281.4	774	
99	1172	280.6	913	
100	1182	280.1	965	
101	1212	280.9	965	
102	1193	281.3	913	
103	1175	280.2	913	
104	1199	280.8	785	
105	1206	280.8	933	
106	1169	280.6	913	
107	1160	280.6	965	
108	1209	280.9	955	
109	1192	281.0	901	
110	1168	280.6	933	
111	1187	280.6	987	
112	1227	280.6	923	
113	1204	280.6	955	
114	1210	280.6	987	
115	1247	280.1	965	
116	1259	280.3	976	
117	1244	280.6	1040	
118	1260	280.2	1040	
119	1295	279.9	1008	
120	1289	280.6	1092	
121	1261	280.7	1061	
122	1287	279.7	1018	
123	1308	280.2	1092	
124	1266	281.1	1082	
125	1247	280.1	1040	
126	1258	279.7	1050	
127	1241	281.0	1040	
128	1199	280.7	955	
129	1180	280.1	987	
130	1212	280.6	997	
131	1193	281.1	923	
132	1162	280.3	923	
133	1184	280.6	965	
134	1223	280.6	923	
135	1204	280.6	987	
136	1222	280.6	1018	
137	1265	280.1	1008	
138	1294	280.1	1040	
139	1260	280.7	1072	
140	1281	279.7	1050	
141	1303	279.7	1061	
142	1276	280.6	1061	
143	1209	280.2	1008	
144	1199	279.4	976	
145	1212	280.3	997	
146	1203	280.6	913	
147	1161	280.1	913	
148	1170	280.1	987	
149	1216	280.3	965	
150	1258	280.1	965	
151	1258	280.3	1040	
152	1259	280.4	1050	
153	1284	279.4	1018	
154	1305	279.7	1050	
155	1260	280.7	1050	
156	1208	280.1	976	
157	1184	279.7	965	
158	1198	280.6	976	
159	1204	280.6	901	
160	1188	280.2	965	
161	1214	280.3	997	
162	1271	279.6	1008	
163	1306	279.6	1050	
164	1279	280.5	1061	
165	1249	279.9	1040	
166	1242	279.1	1040	
167	1235	280.4	1008	
168	1191	280.8	955	
169	1155	279.9	944	
170	1180	280.1	976	
171	1226	280.1	955	
172	1255	279.9	976	
173	1255	280.2	1050	
174	1271	279.4	1018	
175	1291	279.6	1040	
176	1242	280.7	1008	
177	1170	280.3	944	
178	1160	280.1	965	
179	1204	280.5	933	
180	1257	280.1	944	
181	1275	280.1	1061	
182	1257	279.9	1050	
183	1257	279.3	1040	
184	1236	280.5	1018	
185	1187	280.6	923	
186	1164	279.9	923	
187	1206	280.3	965	
188	1291	279.6	965	
189	1291	280.1	1072	
190	1245	280.1	1018	
191	1210	279.4	997	
192	1200	280.6	965	
193	1205	280.6	901	
194	1208	280.1	997	
195	1252	280.0	1018	
196	1303	279.3	1040	
197	1267	280.4	1072	
198	1184	280.6	955	
199	1167	280.1	923	
200	1212	280.3	955	
201	1284	279.7	976	
202	1271	280.4	1061	
203	1248	279.5	997	
204	1212	279.7	987	
205	1204	280.8	913	
206	1192	280.1	933	
207	1226	280.2	1040	
208	1289	279.4	1008	
209	1299	279.9	1072	
210	1205	280.8	955	
