Vernier Format 2
pfr_1200_d_0025_rep.txt 7/28/118 13:45:29
Run 1
Time	Conductivity	Conductivity	Conductivity	
T	C	C	C	
s	µS/cm	µS/cm	µS/cm	

0	1210	279.8	987	
1	1209	280.6	955	
2	1289	279.7	1008	
3	1209	280.6	933	
4	1305	279.3	1040	
5	1191	280.1	955	
6	1248	279.3	997	
7	1216	280.2	976	
8	1184	280.3	944	
9	1270	280.1	1050	
10	1198	280.6	901	
11	1312	279.4	1040	
12	1204	280.3	913	
13	1254	279.3	1008	
14	1228	279.8	997	
15	1178	279.6	944	
16	1260	280.2	1072	
17	1178	280.6	891	
18	1300	280.1	1050	
19	1229	280.1	913	
20	1244	279.7	997	
21	1251	279.7	976	
22	1170	279.7	913	
23	1269	280.3	1040	
24	1180	280.1	913	
25	1269	280.6	1040	
26	1264	279.7	955	
27	1211	280.1	976	
28	1285	279.3	997	
29	1166	280.2	933	
30	1248	279.9	1008	
31	1204	280.1	965	
32	1223	280.7	965	
33	1300	279.4	1008	
34	1197	280.5	955	
35	1290	279.0	1040	
36	1197	279.9	965	
37	1200	279.7	955	
38	1255	280.3	1050	
39	1175	280.4	913	
40	1297	279.7	1082	
41	1223	280.1	913	
42	1239	279.7	1008	
43	1260	279.7	1018	
44	1159	279.7	933	
45	1272	280.4	1061	
46	1194	280.1	933	
47	1251	280.3	1029	
48	1290	279.5	976	
49	1188	280.2	965	
50	1265	279.4	997	
51	1184	279.9	955	
52	1209	280.2	955	
53	1276	280.1	1018	
54	1194	280.6	923	
55	1294	279.3	1050	
56	1208	280.1	955	
57	1194	279.4	965	
58	1261	280.2	1040	
59	1180	280.2	891	
60	1295	280.1	1072	
61	1254	279.7	923	
62	1210	279.7	976	
63	1273	279.4	1008	
64	1167	279.7	923	
65	1242	280.2	1008	
66	1275	279.5	1008	
67	1205	280.4	944	
68	1293	279.5	838	
69	1198	279.9	987	
70	1190	279.7	997	
71	1258	280.1	1251	
72	1148	279.7	1506	
73	1260	278.4	2534	
74	1094	278.8	3160	
75	1229	276.8	3806	
76	1041	277.9	3669	
77	1214	278.8	3351	
78	1092	278.8	2524	
79	1260	278.7	2142	
80	1147	280.1	1644	
81	1267	278.5	1517	
82	1132	279.6	1305	
83	1241	279.7	1305	
84	1185	279.6	1114	
85	1258	280.1	1167	
86	1264	279.6	1050	
87	1193	279.4	1040	
88	1264	279.6	1082	
89	1157	279.6	976	
90	1272	280.4	1124	
91	1236	279.8	987	
92	1226	279.7	1040	
93	1271	279.4	1040	
94	1155	279.8	944	
95	1270	280.4	1072	
96	1236	279.7	955	
97	1231	280.3	1018	
98	1287	279.3	1008	
99	1166	279.7	955	
100	1251	280.1	1018	
101	1236	280.1	965	
102	1223	280.6	965	
103	1303	279.4	1008	
104	1169	280.1	955	
105	1229	279.7	997	
106	1246	279.9	1029	
107	1209	280.6	955	
108	1303	279.3	1040	
109	1182	279.8	965	
110	1217	279.4	997	
111	1257	279.7	1040	
112	1190	280.6	901	
113	1295	279.4	1061	
114	1223	279.8	965	
115	1178	279.4	965	
116	1270	280.3	1061	
117	1200	280.3	901	
118	1257	279.7	1029	
119	1275	279.4	1008	
120	1164	279.7	923	
121	1255	280.5	1050	
122	1254	279.7	955	
123	1212	280.4	955	
124	1276	279.0	1040	
125	1196	279.9	965	
126	1197	280.3	923	
127	1305	279.7	1061	
128	1210	280.3	923	
129	1216	279.3	997	
130	1258	280.3	1040	
131	1176	279.9	913	
132	1258	280.2	1008	
133	1289	279.3	997	
134	1168	279.7	965	
135	1230	279.9	997	
136	1270	279.9	1040	
137	1197	280.6	913	
138	1266	279.1	1040	
139	1235	280.1	1008	
140	1169	280.2	913	
141	1293	280.1	1061	
142	1273	279.7	955	
143	1164	279.7	965	
144	1251	280.3	1018	
145	1265	279.7	997	
146	1204	280.3	955	
147	1266	279.1	1018	
148	1223	279.9	1008	
149	1185	280.6	913	
150	1297	279.7	1050	
151	1242	279.7	987	
152	1160	279.7	933	
153	1278	280.4	1072	
154	1266	279.7	955	
155	1180	279.9	955	
156	1249	279.6	1029	
157	1261	279.7	1008	
158	1200	280.3	923	
159	1259	279.0	1029	
160	1248	280.1	1040	
161	1174	280.1	901	
162	1263	280.1	1040	
163	1284	279.4	997	
164	1168	279.8	965	
165	1215	280.4	987	
166	1305	279.3	1040	
167	1198	279.9	944	
168	1188	279.6	933	
169	1283	280.3	1092	
170	1231	279.7	944	
171	1204	279.5	987	
172	1266	279.7	1040	
173	1221	279.7	965	
174	1216	280.3	965	
175	1276	279.0	1008	
