Vernier Format 2
pfr_fl400_D00250.txt 7/28/118 13:22:28
Run 1
Time	Conductivity	Conductivity	Conductivity	
T	C	C	C	
s	µS/cm	µS/cm	µS/cm	

0	1258	280.7	1029	
1	1246	280.6	1040	
2	1254	280.1	1008	
3	1266	279.7	1008	
4	1270	280.0	1040	
5	1289	280.3	1050	
6	1275	280.9	1040	
7	1270	281.1	1040	
8	1253	281.3	1040	
9	1226	281.2	987	
10	1204	280.8	976	
11	1197	280.4	976	
12	1193	279.8	955	
13	1196	280.2	987	
14	1211	280.6	997	
15	1206	280.9	965	
16	1215	281.3	955	
17	1198	281.2	933	
18	1191	281.3	901	
19	1170	281.1	913	
20	1159	280.7	923	
21	1159	280.5	923	
22	1168	280.6	933	
23	1175	280.6	965	
24	1186	280.7	955	
25	1206	281.1	923	
26	1224	280.8	933	
27	1236	280.6	913	
28	1231	280.8	933	
29	1227	280.6	965	
30	1226	280.6	987	
31	1230	280.7	1029	
32	1234	280.6	1018	
33	1245	280.6	997	
34	1261	280.2	1008	
35	1276	279.9	1008	
36	1303	280.1	1008	
37	1297	280.4	1050	
38	1299	280.6	1050	
39	1293	280.9	1082	
40	1269	281.1	1072	
41	1258	281.0	1040	
42	1258	280.6	1018	
43	1258	279.9	997	
44	1251	279.7	1008	
45	1259	279.9	1018	
46	1265	280.3	1050	
47	1272	280.6	1040	
48	1264	281.0	1029	
49	1231	281.3	1008	
50	1216	281.3	933	
51	1193	281.0	933	
52	1174	280.6	913	
53	1163	280.4	955	
54	1174	280.3	955	
55	1185	280.6	944	
56	1197	280.7	944	
57	1206	281.1	923	
58	1208	281.1	913	
59	1200	281.1	901	
60	1193	281.0	891	
61	1180	280.6	923	
62	1180	280.7	955	
63	1180	280.8	976	
64	1194	280.7	976	
65	1210	280.7	987	
66	1223	280.7	997	
67	1255	280.6	965	
68	1266	280.4	987	
69	1289	280.3	997	
70	1289	280.3	1018	
71	1285	280.4	1040	
72	1275	280.7	1050	
73	1270	280.8	1040	
74	1261	280.9	1040	
75	1266	280.6	1029	
76	1261	280.3	1040	
77	1271	279.9	1018	
78	1296	279.8	1018	
79	1299	279.9	1040	
80	1299	280.0	1050	
81	1307	280.3	1061	
82	1300	280.7	1072	
83	1285	280.9	1061	
84	1266	281.1	1050	
85	1265	280.7	1029	
86	1265	280.3	1008	
87	1271	279.7	1008	
88	1278	279.7	1040	
89	1290	279.8	1050	
90	1299	280.3	1050	
91	1285	280.6	1050	
92	1277	281.1	1050	
93	1261	281.2	1072	
94	1251	281.1	1029	
95	1257	280.6	1008	
96	1257	280.1	1008	
97	1266	279.7	1018	
98	1270	279.8	1029	
99	1291	280.1	1050	
100	1296	280.3	1072	
101	1293	280.6	1082	
102	1276	280.9	1072	
103	1267	281.2	1072	
104	1255	280.8	1040	
105	1239	280.6	997	
106	1247	280.3	1018	
107	1254	279.7	1018	
108	1273	280.1	1029	
109	1281	280.4	1029	
110	1287	280.6	1050	
111	1277	281.0	1050	
112	1271	281.1	1040	
113	1255	280.8	1018	
114	1244	280.6	1018	
115	1241	280.1	1018	
116	1252	279.7	1008	
117	1281	279.8	1029	
