Vernier Format 2
pfr.fl400.d0375.txt 7/28/118 12:54:11
Run 1
Time	Conductivity	Conductivity	Conductivity	
T	C	C	C	
s	µS/cm	µS/cm	µS/cm	

0	1241	279.0	1061	
1	1221	278.8	1008	
2	1192	278.9	965	
3	1184	279.3	923	
4	1208	279.5	976	
5	1229	279.4	1008	
6	1257	279.3	1050	
7	1245	279.0	1040	
8	1223	278.8	976	
9	1185	279.0	944	
10	1190	279.3	933	
11	1220	279.4	987	
12	1267	279.3	1040	
13	1255	279.0	1040	
14	1211	278.9	1008	
15	1168	278.8	965	
16	1176	278.8	944	
17	1220	278.8	997	
18	1283	278.8	1050	
19	1278	278.8	1072	
20	1217	278.8	987	
21	1151	278.8	913	
22	1155	278.4	913	
23	1235	278.0	997	
24	1277	278.1	1008	
25	1246	278.8	933	
26	1187	279.3	901	
27	1197	279.5	933	
28	1247	279.3	1018	
29	1238	279.0	1018	
30	1167	278.8	955	
31	1156	278.8	944	
32	1222	278.4	987	
33	1290	278.2	1040	
34	1253	278.6	987	
35	1178	279.2	891	
36	1187	279.4	955	
37	1257	279.1	1040	
38	1229	279.0	997	
39	1151	278.9	923	
40	1180	278.4	955	
41	1281	278.0	1008	
42	1270	278.4	965	
43	1191	279.3	891	
44	1217	279.3	965	
45	1283	279.0	1072	
46	1217	278.8	987	
47	1142	278.8	923	
48	1208	278.6	987	
49	1246	278.7	1018	
50	1166	278.9	955	
51	1187	278.8	965	
52	1282	278.0	1040	
53	1238	278.8	944	
54	1185	279.3	933	
55	1265	279.0	1061	
56	1252	278.8	1008	
57	1160	279.0	891	
58	1208	279.0	965	
59	1238	279.1	1040	
60	1155	278.9	923	
61	1190	278.1	965	
62	1261	278.3	997	
63	1180	279.0	944	
64	1218	278.4	997	
65	1284	278.2	1018	
66	1193	279.1	901	
67	1222	279.1	976	
68	1281	278.8	1040	
69	1185	279.0	891	
70	1211	279.3	965	
71	1245	278.9	1040	
72	1147	278.6	923	
73	1218	278.7	997	
74	1228	278.8	1008	
75	1143	278.7	933	
76	1244	278.1	997	
77	1214	278.8	987	
78	1178	278.7	965	
79	1284	278.1	1008	
80	1200	279.0	923	
81	1227	278.8	997	
82	1279	278.4	997	
83	1190	279.3	901	
84	1283	278.8	1072	
85	1221	278.8	933	
86	1194	279.3	933	
87	1276	278.8	1072	
88	1159	278.8	913	
89	1245	279.3	1018	
90	1193	278.8	965	
91	1182	278.8	955	
92	1236	278.8	1040	
93	1142	278.6	913	
94	1248	278.8	1029	
95	1153	278.8	955	
96	1217	278.3	997	
97	1217	278.8	987	
98	1166	278.3	965	
99	1252	278.5	1008	
100	1154	278.5	944	
101	1265	278.2	997	
102	1161	278.8	955	
103	1259	278.0	1008	
104	1185	279.0	944	
105	1251	278.1	1008	
106	1214	278.8	933	
107	1241	278.3	997	
108	1231	278.7	955	
109	1222	278.6	1008	
110	1252	278.6	955	
111	1204	278.8	1008	
112	1265	278.3	987	
113	1203	279.0	965	
114	1273	278.4	987	
115	1198	279.0	987	
116	1270	278.3	987	
117	1194	279.1	965	
118	1281	278.3	997	
119	1197	279.1	976	
120	1270	278.3	965	
