Vernier Format 2
pfr.txt 7/28/118 13:4:30
Run 1
Time	Conductivity	Conductivity	Conductivity	
T	C	C	C	
s	µS/cm	µS/cm	µS/cm	

0	1272	278.0	1018	
1	1277	278.8	1040	
2	1218	279.0	1018	
3	1222	278.8	965	
4	1184	279.2	923	
5	1160	278.8	976	
6	1200	279.3	997	
7	1194	279.1	965	
8	1226	278.2	1018	
9	1285	278.7	1092	
10	1260	279.0	1082	
11	1265	278.4	1008	
12	1257	278.6	987	
13	1175	279.0	976	
14	1196	279.2	933	
15	1191	279.4	923	
16	1175	278.4	965	
17	1247	278.8	1040	
18	1266	279.5	1050	
19	1258	278.6	1018	
20	1284	278.4	1050	
21	1228	278.8	1018	
22	1182	278.8	987	
23	1193	279.3	933	
24	1156	278.8	923	
25	1188	278.4	987	
26	1264	279.0	1061	
27	1254	279.0	1040	
28	1273	278.3	997	
29	1249	278.6	987	
30	1172	278.8	965	
31	1179	278.9	965	
32	1192	279.4	923	
33	1181	278.8	955	
34	1261	278.3	1018	
35	1278	278.9	1061	
36	1239	278.9	1050	
37	1239	278.6	965	
38	1193	279.0	933	
39	1147	278.8	944	
40	1202	279.0	987	
41	1229	279.4	997	
42	1241	278.4	1008	
43	1294	278.3	1029	
44	1238	278.8	1018	
45	1187	278.8	987	
46	1198	279.2	923	
47	1170	279.1	933	
48	1203	278.0	976	
49	1285	278.6	1061	
50	1255	279.0	1050	
51	1244	278.7	997	
52	1228	278.8	913	
53	1156	278.7	923	
54	1174	278.6	965	
55	1251	279.0	1040	
56	1258	279.2	1040	
57	1252	278.2	1018	
58	1257	278.4	965	
59	1168	278.9	955	
60	1166	278.6	965	
61	1212	279.2	987	
62	1240	279.3	1018	
63	1258	278.3	1029	
64	1273	278.4	997	
65	1199	278.8	965	
66	1155	278.8	944	
67	1211	279.3	987	
68	1221	279.1	1018	
69	1254	278.2	1018	
70	1283	278.4	997	
71	1223	278.8	976	
72	1154	278.8	965	
73	1199	279.0	965	
74	1235	279.4	1018	
75	1247	278.6	1040	
76	1276	278.2	1008	
77	1230	278.7	965	
78	1160	278.7	933	
79	1190	278.7	987	
80	1252	279.0	1040	
81	1257	279.3	1050	
82	1251	278.3	1008	
83	1212	278.9	933	
84	1163	278.8	955	
85	1178	278.0	1072	
86	1279	278.1	1305	
87	1248	278.4	1474	
88	1156	278.3	1517	
89	1147	278.6	1697	
90	1226	278.8	1898	
91	1218	278.2	1941	
92	1150	278.4	1867	
93	1135	278.8	2015	
94	1215	277.5	2396	
95	1187	277.6	2450	
96	1103	278.4	2407	
97	1194	277.6	2598	
98	1185	277.5	2555	
99	1108	278.4	2428	
100	1208	278.3	2312	
101	1191	278.1	1867	
102	1131	278.8	1887	
103	1217	278.6	1856	
104	1218	278.4	1665	
105	1145	278.7	1612	
106	1198	278.8	1697	
107	1223	278.5	1655	
108	1153	278.4	1474	
109	1193	278.7	1506	
110	1249	278.8	1474	
111	1175	278.7	1283	
112	1176	278.8	1220	
113	1260	279.0	1283	
114	1221	278.8	1188	
115	1170	278.6	1082	
116	1241	279.1	1050	
117	1267	279.3	690	
118	1185	278.8	817	
